Title,Author,Pages,Genre,Publisher
Fundamentals of Wavelets,"Goswami, Jaideva",228,signal_processing,Wiley
Data Smart,"Foreman, John",235,data_science,Wiley
God Created the Integers,"Hawking, Stephen",197,mathematics,Penguin
Superfreakonomics,"Dubner, Stephen",179,economics,HarperCollins
Orientalism,"Said, Edward",197,history,Penguin
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",230,data_science,Springer
Integration of the Indian States,"Menon, V P",217,history,Orient Blackswan
"Drunkard's Walk, The","Mlodinow, Leonard",197,science,Penguin
Image Processing & Mathematical Morphology,"Shih, Frank",241,signal_processing,CRC
How to Think Like Sherlock Holmes,"Konnikova, Maria",240,psychology,Penguin
Data Scientists at Work,Sebastian Gutierrez,230,data_science,Apress
Slaughterhouse Five,"Vonnegut, Kurt",198,fiction,Random House
Birth of a Theorem,"Villani, Cedric",234,mathematics,Bodley Head
Structure & Interpretation of Computer Programs,"Sussman, Gerald",240,computer_science,MIT Press
"Age of Wrath, The","Eraly, Abraham",238,history,Penguin
"Trial, The","Kafka, Frank",198,fiction,Random House
Statistical Decision Theory',"Pratt, John",236,data_science,MIT Press
Data Mining Handbook,"Nisbet, Robert",242,data_science,Apress
"New Machiavelli, The","Wells, H. G.",180,fiction,Penguin
Physics & Philosophy,"Heisenberg, Werner",197,science,Penguin
Making Software,"Oram, Andy",232,computer_science,O'Reilly
"Analysis, Vol I","Tao, Terence",248,mathematics,HBA
Machine Learning for Hackers,"Conway, Drew",233,data_science,O'Reilly
"Signal and the Noise, The","Silver, Nate",233,data_science,Penguin
Python for Data Analysis,"McKinney, Wes",233,data_science,O'Reilly
Introduction to Algorithms,"Cormen, Thomas",234,computer_science,MIT Press
"Beautiful and the Damned, The","Deb, Siddhartha",198,nonfiction,Penguin
"Outsider, The","Camus, Albert",198,fiction,Penguin
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",176,fiction,Random House
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",176,fiction,Random House
"Wealth of Nations, The","Smith, Adam",175,economics,Random House
"Pillars of the Earth, The","Follett, Ken",176,fiction,Random House
Mein Kampf,"Hitler, Adolf",212,nonfiction,Rupa
"Tao of Physics, The","Capra, Fritjof",179,science,Penguin
Surely You're Joking Mr Feynman,"Feynman, Richard",198,science,Random House
"Farewell to Arms, A","Hemingway, Ernest",179,fiction,Rupa
"Veteran, The","Forsyth, Frederick",177,fiction,Transworld
False Impressions,"Archer, Jeffery",177,fiction,Pan
"Last Lecture, The","Pausch, Randy",197,nonfiction,Hyperion
Return of the Primitive,"Rand, Ayn",202,philosophy,Penguin
Jurassic Park,"Crichton, Michael",174,fiction,Random House
"Russian Journal, A","Steinbeck, John",196,nonfiction,Penguin
Tales of Mystery and Imagination,"Poe, Edgar Allen",172,fiction,HarperCollins
Freakonomics,"Dubner, Stephen",197,economics,Penguin
"Hidden Connections, The","Capra, Fritjof",197,science,HarperCollins
"Story of Philosophy, The","Durant, Will",170,philosophy,Pocket
Asami Asami,"Deshpande, P L",205,fiction,Mauj
Journal of a Novel,"Steinbeck, John",196,fiction,Penguin
Once There Was a War,"Steinbeck, John",196,nonfiction,Penguin
"Moon is Down, The","Steinbeck, John",196,fiction,Penguin
"Brethren, The","Grisham, John",174,fiction,Random House
In a Free State,"Naipaul, V. S.",196,fiction,Rupa
Catch 22,"Heller, Joseph",178,fiction,Random House
"Complete Mastermind, The",BBC,178,nonfiction,BBC
Dylan on Dylan,"Dylan, Bob",197,nonfiction,Random House
Soft Computing & Intelligent Systems,"Gupta, Madan",242,data_science,Elsevier
Textbook of Economic Theory,"Stonier, Alfred",242,economics,Pearson
Econometric Analysis,"Greene, W. H.",242,economics,Pearson
Learning OpenCV,"Bradsky, Gary",232,data_science,O'Reilly
Data Structures Using C & C++,"Tanenbaum, Andrew",235,computer_science,Prentice Hall
"Computer Vision, A Modern Approach","Forsyth, David",255,data_science,Pearson
Principles of Communication Systems,"Taub, Schilling",240,computer_science,TMH
Let Us C,"Kanetkar, Yashwant",213,computer_science,Prentice Hall
"Amulet of Samarkand, The","Stroud, Jonathan",179,fiction,Random House
Crime and Punishment,"Dostoevsky, Fyodor",180,fiction,Penguin
Angels & Demons,"Brown, Dan",178,fiction,Random House
"Argumentative Indian, The","Sen, Amartya",209,nonfiction,Picador
Sea of Poppies,"Ghosh, Amitav",197,fiction,Penguin
"Idea of Justice, The","Sen, Amartya",212,nonfiction,Penguin
"Raisin in the Sun, A","Hansberry, Lorraine",175,fiction,Penguin
All the President's Men,"Woodward, Bob",177,history,Random House
"Prisoner of Birth, A","Archer, Jeffery",176,fiction,Pan
Scoop!,"Nayar, Kuldip",216,history,HarperCollins
Ahe Manohar Tari,"Deshpande, Sunita",213,nonfiction,Mauj
"Last Mughal, The","Dalrymple, William",199,history,Penguin
"Social Choice & Welfare, Vol 39 No. 1",Various,235,economics,Springer
Radiowaril Bhashane & Shrutika,"Deshpande, P L",213,nonfiction,Mauj
Gun Gayin Awadi,"Deshpande, P L",212,nonfiction,Mauj
Aghal Paghal,"Deshpande, P L",212,nonfiction,Mauj
Maqta-e-Ghalib,"Garg, Sanjay",221,fiction,Mauj
Beyond Degrees,,222,nonfiction,HarperCollins
Manasa,"Kale, V P",213,nonfiction,Mauj
India from Midnight to Milennium,"Tharoor, Shashi",198,history,Penguin
"World's Greatest Trials, The",,210,history,
"Great Indian Novel, The","Tharoor, Shashi",198,fiction,Penguin
O Jerusalem!,"Lapierre, Dominique",217,history,vikas
"City of Joy, The","Lapierre, Dominique",177,fiction,vikas
Freedom at Midnight,"Lapierre, Dominique",167,history,vikas
"Winter of Our Discontent, The","Steinbeck, John",196,fiction,Penguin
On Education,"Russell, Bertrand",203,philosophy,Routledge
Free Will,"Harris, Sam",203,philosophy,FreePress
Bookless in Baghdad,"Tharoor, Shashi",206,nonfiction,Penguin
"Case of the Lame Canary, The","Gardner, Earle Stanley",179,fiction,
"Theory of Everything, The","Hawking, Stephen",217,science,Jaico
New Markets & Other Essays,"Drucker, Peter",176,economics,Penguin
Electric Universe,"Bodanis, David",201,science,Penguin
"Hunchback of Notre Dame, The","Hugo, Victor",175,fiction,Random House
Burning Bright,"Steinbeck, John",175,fiction,Penguin
"Age of Discontuinity, The","Drucker, Peter",178,economics,Random House
Doctor in the Nude,"Gordon, Richard",179,fiction,Penguin
Down and Out in Paris & London,"Orwell, George",179,nonfiction,Penguin
Identity & Violence,"Sen, Amartya",219,philosophy,Penguin
Beyond the Three Seas,"Dalrymple, William",197,history,Random House
"World's Greatest Short Stories, The",,217,fiction,Jaico
Talking Straight,"Iacoca, Lee",175,nonfiction,
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",171,fiction,Vintage
"Phantom of Manhattan, The","Forsyth, Frederick",180,fiction,
Ashenden of The British Agent,"Maugham, William S",160,fiction,Vintage
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",172,philosophy,Vintage
"Great War for Civilization, The","Fisk, Robert",197,history,HarperCollins
We the Living,"Rand, Ayn",178,fiction,Penguin
"Artist and the Mathematician, The","Aczel, Amir",186,science,HighStakes
History of Western Philosophy,"Russell, Bertrand",213,philosophy,Routledge
Selected Short Stories,,215,fiction,Jaico
Rationality & Freedom,"Sen, Amartya",213,economics,Springer
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",228,history,Simon&Schuster
Uncommon Wisdom,"Capra, Fritjof",197,nonfiction,Fontana
One,"Bach, Richard",172,nonfiction,Dell
Karl Marx Biography,,162,nonfiction,
To Sir With Love,Braithwaite,197,fiction,Penguin
Half A Life,"Naipaul, V S",196,fiction,
"Discovery of India, The","Nehru, Jawaharlal",230,history,
Apulki,"Deshpande, P L",211,nonfiction,
